ticker,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
NVO,2020-02-07T20:49:00.000Z,TAS,3.74,3.65,-2.43,EST,-18000000,EQUITY
AVTR-PA,2020-02-07T06:00:00.000Z,TAS,0.16,0.19,18.01,EST,-18000000,EQUITY
BDABF,2020-02-07T09:08:00.000Z,TAS,0.51,0.37,-27.45,EST,-18000000,EQUITY
SUSRF,2020-02-07T09:02:00.000Z,TAS,,,,EST,-18000000,EQUITY
XAIR,2020-02-07T08:30:00.000Z,TAS,-0.34,-0.43,-26.47,EST,-18000000,EQUITY
KCDMF,2020-02-07T10:35:00.000Z,TAS,0.47,0.47,0,EST,-18000000,EQUITY
AVTR,2020-02-07T06:00:00.000Z,TAS,0.16,0.19,18.01,EST,-18000000,EQUITY
ABBV,2020-02-07T07:49:00.000Z,TAS,2.19,2.21,0.82,EST,-18000000,EQUITY
TYIBF,2020-02-07T15:18:00.000Z,TAS,0.46,0.43,-6.52,UTC,0,EQUITY
IDTVF,2020-02-07T05:00:00.000Z,TAS,,,,EST,-18000000,EQUITY
KCDMY,2020-02-07T10:35:00.000Z,TAS,0.47,0.47,0,EST,-18000000,EQUITY
SAGXF,2020-02-07T09:36:00.000Z,TAS,,,,EST,-18000000,EQUITY
VIVO,2020-02-07T07:30:00.000Z,TAS,0.07,0.1,53.85,EST,-18000000,EQUITY
BMDPF,2020-02-07T09:17:00.000Z,TAS,-0.02,-1.1,-5400,EST,-18000000,EQUITY
CIVB,2020-02-07T08:30:00.000Z,TAS,0.48,0.47,-1.47,EST,-18000000,EQUITY
BCH,2020-02-07T13:09:00.000Z,TAS,0.39,0.39,-1.53,EST,-18000000,EQUITY
BEAM,2020-02-07T17:08:00.000Z,TAS,,,,EST,-18000000,EQUITY
MSGS-WI,2020-02-07T07:00:00.000Z,TAS,2.63,3.93,49.32,UTC,0,EQUITY
UMC,2020-02-07T10:44:00.000Z,TAS,0.06,0.05,-10,EST,-18000000,EQUITY
CNHI,2020-02-07T09:26:00.000Z,TAS,0.19,0.2,3.63,EST,-18000000,EQUITY
GOOS,2020-02-07T06:45:00.000Z,TAS,1.07,1.08,0.75,EST,-18000000,EQUITY
EGLPF,2020-02-07T17:01:00.000Z,TAS,,,,UTC,0,EQUITY
MSGE,2020-02-07T17:05:00.000Z,TAS,,,,EST,-18000000,EQUITY
RFLFF,2020-02-07T06:34:00.000Z,TAS,,,,EST,-18000000,EQUITY
UFS,2020-02-07T06:55:00.000Z,TAS,-0.04,0.03,176.92,UTC,0,EQUITY
CBOE,2020-02-07T07:32:00.000Z,TAS,1.11,1.21,9.5,EST,-18000000,EQUITY
CGTFF,2020-02-07T15:26:00.000Z,TAS,,,,UTC,0,EQUITY
CCJ,2020-02-07T07:13:00.000Z,TAS,0.16,0.24,53.85,EST,-18000000,EQUITY
CSASF,2020-02-07T05:00:00.000Z,TAS,41.56,97.21,133.9,EST,-18000000,EQUITY
