ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
AMRPF,Amorepacific Corporation,2019-04-28T18:46:00.000Z,TAS,2553.13,1794.06,-29.73,EDT,-14400000,EQUITY
FLMNY,Fielmann Aktiengesellschaft,2019-04-29T01:30:00.000Z,TAS,0.54,0.54,0,EDT,-14400000,EQUITY
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",2019-04-29T03:36:00.000Z,TAS,0.73,0.79,8.97,EDT,-14400000,EQUITY
PBBIF,Probi AB (publ),2019-04-29T02:00:00.000Z,TAS,1.84,0.75,-59.24,EDT,-14400000,EQUITY
ACEHF,PT Ace Hardware Indonesia Tbk,2019-04-29T02:03:00.000Z,TAS,13.52,13.87,2.59,EDT,-14400000,EQUITY
AABVF,Aberdeen International Inc.,2019-04-28T21:07:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",2019-04-29T03:33:00.000Z,TAS,2.48,2.53,2.14,EDT,-14400000,EQUITY
ASLN,ASLAN Pharmaceuticals Limited,2019-04-29T03:26:00.000Z,TAS,-0.18,-0.13,25,EDT,-14400000,EQUITY
CVVTF,Covestro AG,2019-04-29T01:00:00.000Z,TAS,0.96,0.98,2.62,EDT,-14400000,EQUITY
FLMNF,Fielmann Aktiengesellschaft,2019-04-29T01:30:00.000Z,TAS,0.54,0.54,0,EDT,-14400000,EQUITY
UBOPF,Union Bank of the Philippines,2019-04-28T21:12:00.000Z,TAS,,,,UTC,0,EQUITY
MREO,Mereo BioPharma Group plc,2019-04-29T02:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BSMAF,Bursa Malaysia Berhad,2019-04-29T01:30:00.000Z,TAS,0.08,0.06,-22.67,EDT,-14400000,EQUITY
BNKXF,"Bankia, S.A.",2019-04-29T01:27:00.000Z,TAS,0.07,0.07,7.69,UTC,0,EQUITY
BBAJF,"Banco del Bajío, S.A., Institución de Banca Múltiple",2019-04-28T20:00:00.000Z,TAS,1.14,1.19,4.57,EDT,-14400000,EQUITY
PBLOF,Public Bank Berhad,2019-04-29T00:37:00.000Z,TAS,0.08,0.07,-6.41,EDT,-14400000,EQUITY
GZPHF,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,2019-04-28T06:19:00.000Z,TAS,0.5,0.87,73,EDT,-14400000,EQUITY
CYOU,Changyou.com Limited,2019-04-29T01:27:00.000Z,TAS,0.52,0.69,33.98,UTC,0,EQUITY
SCVUF,The Siam Cement Public Company Limited,2019-04-29T01:53:00.000Z,TAS,9.24,9.72,5.14,EDT,-14400000,EQUITY
FEOVF,Oceanic Iron Ore Corp.,2019-04-28T20:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
OGZPY,Public Joint Stock Company Gazprom,2019-04-29T03:52:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SCVPF,The Siam Cement Public Company Limited,2019-04-29T01:53:00.000Z,TAS,9.24,9.72,5.14,EDT,-14400000,EQUITY
IMXCF,"IMAX China Holding, Inc.",2019-04-28T06:14:00.000Z,TAS,,,,EDT,-14400000,EQUITY
HZNQF,Horizon Discovery Group plc,2019-04-29T02:01:00.000Z,TAS,0.56,,,UTC,0,EQUITY
DBSDF,DBS Group Holdings Ltd,2019-04-28T18:50:00.000Z,TAS,0.59,0.65,10.05,EDT,-14400000,EQUITY
GLPEF,"Galp Energia, SGPS, S.A.",2019-04-29T01:54:00.000Z,TAS,0.15,0.12,-21.05,EDT,-14400000,EQUITY
IIPZF,InterRent Real Estate Investment Trust,2019-04-28T20:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
GLPEY,"Galp Energia, SGPS, S.A.",2019-04-29T01:54:00.000Z,TAS,0.15,0.12,-21.05,EDT,-14400000,EQUITY
RAFLF,Raffles Medical Group Ltd,2019-04-28T18:11:00.000Z,TAS,0.01,0.01,-20,EDT,-14400000,EQUITY
SOGO,Sogou Inc.,2019-04-29T01:25:00.000Z,TAS,0.01,-0.01,-240,UTC,0,EQUITY
VNE,"Veoneer, Inc.",2019-04-29T02:30:00.000Z,TAS,-1.19,-1.57,-31.71,EDT,-14400000,EQUITY
PHG,Koninklijke Philips N.V.,2019-04-29T02:22:00.000Z,TAS,,,,EDT,-14400000,EQUITY
RYLPF,Koninklijke Philips N.V.,2019-04-29T01:00:00.000Z,TAS,0.2,0.29,47.21,EDT,-14400000,EQUITY
SOHU,Sohu.com Limited,2019-04-29T01:26:00.000Z,TAS,-1.48,-1.39,5.89,EDT,-14400000,EQUITY
SAPLF,Sylvania Platinum Limited,2019-04-29T02:02:00.000Z,TAS,,,,EDT,-14400000,EQUITY
WMLLF,Wealth Minerals Ltd.,2019-04-28T20:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
STBBF,Strabag SE,2019-04-29T01:34:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SLSOF,,2019-04-29T02:21:00.000Z,TAS,241.54,278,15.1,UTC,0,EQUITY
