ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
FLMNY,Fielmann Aktiengesellschaft,2020-02-24T01:44:00.000Z,TAS,0.36,,,EST,-18000000,EQUITY
LBTSF,"Almirall, S.A.",2020-02-24T02:24:00.000Z,TAS,0.16,0.14,-14.47,EST,-18000000,EQUITY
BSKZF,Bambuser AB (publ),2020-02-24T02:00:00.000Z,TAS,,,,EST,-18000000,EQUITY
FLMNF,Fielmann Aktiengesellschaft,2020-02-24T01:44:00.000Z,TAS,0.36,0.4,11.11,EST,-18000000,EQUITY
UMSBF,UEM Sunrise Berhad,2020-02-24T00:33:00.000Z,TAS,,,,UTC,0,EQUITY
BZLFF,Bunzl plc,2020-02-24T02:00:00.000Z,TAS,,,,EST,-18000000,EQUITY
PBR,Petróleo Brasileiro S.A. - Petrobras,2020-02-23T20:57:00.000Z,TAS,0.38,0.3,-20.63,EST,-18000000,EQUITY
RLLWF,Reliance Worldwide Corporation Limited,2020-02-23T16:00:00.000Z,TAS,,,,EST,-18000000,EQUITY
COPJF,Cooper Energy Limited,2020-02-23T16:36:00.000Z,TAS,,,,EST,-18000000,EQUITY
LUCRF,Lucara Diamond Corp.,2020-02-23T23:00:00.000Z,TAS,0.02,0.02,33.33,EST,-18000000,EQUITY
SGGKF,Singapore Technologies Engineering Ltd,2020-02-23T18:10:00.000Z,TAS,0.05,0.05,1.89,EST,-18000000,EQUITY
KOS,Kosmos Energy Ltd.,2020-02-24T02:00:00.000Z,TAS,-0.11,-0.09,18.18,EST,-18000000,EQUITY
RAFLF,Raffles Medical Group Ltd,2020-02-23T17:20:00.000Z,TAS,0.01,0.01,0,EST,-18000000,EQUITY
ORYZF,Oryzon Genomics S.A.,2020-02-24T02:03:00.000Z,TAS,-0.07,-0.01,84.85,EST,-18000000,EQUITY
STOK,"Stoke Therapeutics, Inc.",2020-02-23T20:00:00.000Z,TAS,-0.31,-0.09,71.15,EST,-18000000,EQUITY
SILLF,Sarine Technologies Ltd.,2020-02-23T10:36:00.000Z,TAS,,,,EST,-18000000,EQUITY
TNTFF,PostNL N.V.,2020-02-24T01:18:00.000Z,TAS,,,,EST,-18000000,EQUITY
UMSSF,,2020-02-24T04:26:00.000Z,TAS,,,,EST,-18000000,EQUITY
